split,model,dimension,segment,sample_count,mean_actual,mean_predicted,mean_residual,mae
oof,HistGradientBoosting,gw,10,1079,2.1872103799814644,2.2146107537634854,-0.027400373782021332,1.762667294478614
oof,HistGradientBoosting,gw,11,1073,2.29170549860205,2.2155840634854753,0.07612143511657496,1.8987551866359285
oof,HistGradientBoosting,gw,12,1068,2.24438202247191,2.2213423423731893,0.02303968009872061,1.90827764201128
oof,HistGradientBoosting,gw,13,1065,2.1868544600938966,2.203103384371512,-0.01624892427761516,1.8988273305571741
oof,HistGradientBoosting,gw,14,1066,2.3330206378986866,2.2296716342298275,0.10334900366885925,1.9676580843268314
oof,HistGradientBoosting,gw,15,1083,2.240073868882733,2.1378134072070814,0.1022604616756518,1.8500584519494105
oof,HistGradientBoosting,gw,16,1076,2.2342007434944238,2.206028550655044,0.028172192839379735,1.8375853654636216
oof,HistGradientBoosting,gw,17,1067,2.262417994376757,2.105186219828088,0.15723177454866918,1.9020543241034058
oof,HistGradientBoosting,gw,18,1084,2.157749077490775,2.1049150973690263,0.05283398012174908,1.7255429583913848
oof,HistGradientBoosting,gw,19,1088,2.2380514705882355,2.1316665042951435,0.10638496629309217,1.880318492749026
oof,HistGradientBoosting,gw,20,1091,2.1934005499541707,2.152444710041413,0.040955839912757634,1.7891914212245403
oof,HistGradientBoosting,gw,21,1084,2.209409594095941,2.1849276533467785,0.02448194074916196,1.7783658772811866
oof,HistGradientBoosting,gw,22,1062,2.238229755178908,2.2007046734793656,0.037525081699541565,1.9337283397165705
oof,HistGradientBoosting,gw,23,1076,2.1728624535315983,2.21175929088144,-0.038896837349841604,1.8922553716072712
oof,HistGradientBoosting,gw,24,1105,2.2733031674208144,2.213450424555124,0.05985274286569059,1.904576379387914
oof,HistGradientBoosting,gw,25,1103,2.2783318223028104,2.344762017029297,-0.06643019472648662,1.8524510630377633
oof,HistGradientBoosting,gw,26,1101,2.1335149863760217,2.113613508340435,0.019901478035586652,1.816259766371401
oof,HistGradientBoosting,gw,27,1092,2.2976190476190474,2.2026107202212435,0.09500832739780433,1.8265849365857008
oof,HistGradientBoosting,gw,28,1081,2.18686401480111,2.2930382129241584,-0.10617419812304824,1.8024676110856463
oof,HistGradientBoosting,gw,29,1079,1.6302131603336423,1.6302010418904558,1.2118443186463895e-05,1.3706075252156782
oof,HistGradientBoosting,gw,30,1048,2.256679389312977,2.0272384097325746,0.2294409795804026,1.8270107027155988
oof,HistGradientBoosting,gw,31,1057,2.109744560075686,2.0309147762329505,0.07882978384273537,1.6710416159326171
oof,HistGradientBoosting,gw,32,1053,2.3304843304843303,2.23473070590483,0.09575362457950047,1.868928548292932
oof,HistGradientBoosting,gw,33,1056,2.7140151515151514,2.606877165317804,0.10713798619734777,2.0636550923907135
oof,HistGradientBoosting,gw,34,1062,2.1732580037664784,2.016856091710527,0.1564019120559517,1.8127350769534267
oof,HistGradientBoosting,gw,35,1072,2.2220149253731343,2.1348940238865444,0.08712090148659007,1.7735146000880697
oof,HistGradientBoosting,gw,36,1081,2.436632747456059,2.223023366182359,0.21360938127370027,1.8922339068921719
oof,HistGradientBoosting,gw,37,1085,2.447926267281106,2.352523613331674,0.09540265394943193,1.884176084583586
